average_song_duration_in_minitues, month, year
3.953333333333333, 2009-03, 2009
3.6542833333333333, 2009-04, 2009
3.557773333333333, 2009-05, 2009
3.6273874999999998, 2009-06, 2009
3.3915566666666668, 2009-07, 2009
4.316995833333333, 2009-08, 2009
3.3707791666666664, 2009-09, 2009
3.4069799999999995, 2009-10, 2009
2.9360541666666666, 2009-11, 2009
4.762625, 2009-12, 2009
3.6797366666666664, 2010-01, 2010
4.657025, 2010-02, 2010
3.822220833333333, 2010-03, 2010
3.456836666666667, 2010-04, 2010
7.487, 2010-05, 2010
4.067445833333333, 2010-06, 2010
3.5031833333333333, 2010-07, 2010
3.856195833333333, 2010-08, 2010
3.425725, 2010-09, 2010
3.994526666666667, 2010-10, 2010
3.75835, 2010-11, 2010
4.305153333333334, 2010-12, 2010
3.5655208333333333, 2011-01, 2011
3.7023916666666663, 2011-02, 2011
4.386, 2011-03, 2011
4.237333333333334, 2011-04, 2011
4.028608333333334, 2011-05, 2011
3.7085583333333334, 2011-06, 2011
3.3336466666666666, 2011-07, 2011
3.776545833333333, 2011-08, 2011
3.3881200000000002, 2011-09, 2011
3.1886750000000004, 2011-10, 2011
3.1907666666666668, 2011-11, 2011
3.2073833333333335, 2011-12, 2011
4.125991666666667, 2012-01, 2012
3.7063541666666664, 2012-02, 2012
3.98684, 2012-03, 2012
3.3673875, 2012-04, 2012
3.4204125, 2012-05, 2012
3.52363, 2012-06, 2012
3.8259958333333333, 2012-07, 2012
3.5138966666666667, 2012-08, 2012
3.632375, 2012-09, 2012
3.6252583333333335, 2012-10, 2012
3.6487966666666667, 2012-11, 2012
3.813775, 2012-12, 2012
4.181775, 2013-01, 2013
3.2260874999999998, 2013-02, 2013
6.050586666666667, 2013-03, 2013
3.5999416666666666, 2013-04, 2013
3.734923333333333, 2013-05, 2013
4.397116666666666, 2013-06, 2013
3.7845875, 2013-07, 2013
3.9617266666666664, 2013-08, 2013
3.5403291666666665, 2013-09, 2013
3.7850625, 2013-10, 2013
3.540356666666667, 2013-11, 2013
3.4370874999999996, 2013-12, 2013
3.7671766666666664, 2014-01, 2014
3.6507041666666664, 2014-02, 2014
3.0364750000000003, 2014-03, 2014
3.7459583333333333, 2014-04, 2014
3.3832999999999998, 2014-05, 2014
3.5328125, 2014-06, 2014
3.473945833333333, 2014-07, 2014
3.8986333333333336, 2014-08, 2014
3.9629625, 2014-09, 2014
3.1702233333333334, 2014-10, 2014
3.1272916666666664, 2014-11, 2014
4.205479166666667, 2014-12, 2014
4.49445, 2015-01, 2015
4.2802875, 2015-02, 2015
3.374808333333333, 2015-03, 2015
3.7981583333333333, 2015-04, 2015
3.1725533333333336, 2015-05, 2015
3.4619833333333334, 2015-06, 2015
3.4588200000000002, 2015-07, 2015
2.318425, 2015-08, 2015
3.5869416666666667, 2015-09, 2015
3.781273333333333, 2015-10, 2015
4.590216666666667, 2015-11, 2015
3.96365, 2015-12, 2015
3.7110666666666665, 2016-01, 2016
3.8110291666666667, 2016-02, 2016
3.6269416666666667, 2016-03, 2016
3.7901433333333334, 2016-04, 2016
4.11765, 2016-05, 2016
4.11765, 2016-06, 2016
3.9119866666666665, 2016-07, 2016
3.0893333333333337, 2016-08, 2016
3.6067566666666666, 2016-09, 2016
3.814225, 2016-10, 2016
4.1646, 2016-11, 2016
4.1848, 2016-12, 2016
3.9676125, 2017-01, 2017
3.8952166666666668, 2017-02, 2017
3.8952166666666668, 2017-03, 2017
4.3165249999999995, 2017-04, 2017
4.0639916666666664, 2017-05, 2017
3.8290033333333335, 2017-06, 2017
4.0639916666666664, 2017-07, 2017
3.6286666666666667, 2017-08, 2017
3.4223533333333336, 2017-09, 2017
3.588, 2017-10, 2017
2.845766666666667, 2017-11, 2017
4.081153333333334, 2017-12, 2017
3.9023875, 2018-01, 2018
3.316216666666667, 2018-02, 2018
3.35555, 2018-03, 2018
3.5711375, 2018-04, 2018
3.5807833333333337, 2018-05, 2018
3.509126666666667, 2018-06, 2018
3.5994041666666665, 2018-07, 2018
3.3740799999999997, 2018-08, 2018
3.55515, 2018-09, 2018
3.995075, 2018-10, 2018
3.4833766666666666, 2018-11, 2018
3.59265, 2018-12, 2018
3.0872291666666665, 2019-01, 2019
3.0263375, 2019-02, 2019
3.036016666666667, 2019-03, 2019
2.8269, 2019-04, 2019
3.5079166666666666, 2019-05, 2019
3.665783333333333, 2019-06, 2019
3.605279166666667, 2019-07, 2019
3.4241333333333333, 2019-08, 2019
4.39, 2019-09, 2019
3.4906333333333333, 2019-10, 2019
3.4906333333333333, 2019-11, 2019
3.5138125000000002, 2019-12, 2019
3.58676, 2020-01, 2020
3.5099375, 2020-02, 2020
3.135491666666667, 2020-03, 2020
3.5422041666666666, 2020-04, 2020
3.49575, 2020-05, 2020
3.0288833333333334, 2020-06, 2020
